序,代码,名称,最新,涨幅%,DDX,DDY,DDZ,5日DDX,5日DDY,10日DDX,10日DDY,连续,5日内,10日内,特大买入%,特大卖出%,特大单净比%,大单买入%,大单卖出%,大单净比%
282,600984, 建设机械,3.62,-0.28,0.064,2.106,20.78,0.748,3.216,0.302,1.272,3,4.0,5,11.21,6.56,4.65,16.16,19.53,-3.37
284,600988, 赤峰黄金,19.44,-1.12,0.158,0.319,20.67,-0.387,-0.523,-1.701,-2.828,2,3.0,3,25.63,13.73,11.89,19.66,23.13,-3.47
286,600163, 中闽能源,5.13,-1.16,0.057,0.115,20.5,-0.026,0.271,0.061,0.806,1,2.0,4,13.77,1.08,12.69,14.52,14.45,0.08
288,300244, 迪安诊断,18.9,1.5,0.388,3.551,20.33,-1.135,-4.588,-1.936,-7.371,1,3.0,6,13.63,10.51,3.12,26.49,26.59,-0.11
289,688262, 国芯科技,30.57,1.83,0.482,1.13,20.31,0.577,1.603,-0.605,0.623,1,3.0,4,12.41,7.48,4.93,31.43,28.57,2.86
290,300845, 捷安高科,13.99,-0.14,0.287,1.259,20.22,0.102,2.751,-1.228,-0.266,1,2.0,3,2.4,0.0,2.4,21.18,14.22,6.96
292,603217, 元利科技,17.36,2.42,0.083,0.685,20.04,-0.109,0.076,-0.148,0.312,1,1.0,3,10.57,9.46,1.11,11.59,6.48,5.12
293,733, 振华科技,43.78,0.39,0.073,0.281,20.02,-0.04,0.534,-0.535,-0.319,1,2.0,3,7.58,5.03,2.55,30.55,26.82,3.73
294,2842, 翔鹭钨业,7.44,2.48,0.864,2.443,20.01,3.216,8.878,3.375,11.617,8,5.0,8,2.27,0.33,1.94,26.76,18.42,8.34
295,603116, 红蜻蜓,5.52,1.66,0.209,0.239,19.92,-0.191,-0.681,-0.831,-0.644,1,2.0,3,19.17,4.16,15.01,17.43,19.15,-1.72
296,600266, 城建发展,5.06,-0.78,0.051,0.373,19.85,-0.165,0.313,0.11,0.576,2,3.0,7,15.55,6.1,9.44,17.06,22.02,-4.97
297,300227, 光韵达,9.11,1.79,0.438,3.013,19.79,0.189,2.397,-2.108,-0.094,2,2.0,2,5.71,3.12,2.6,22.06,19.09,2.97
298,300207, 欣旺达,24.75,0.61,0.244,0.326,19.78,0.237,0.683,0.204,1.514,1,2.0,5,12.65,9.66,3.0,33.01,25.83,7.18
301,688658, 悦康药业,16.09,0.81,0.091,0.449,19.76,0.274,1.472,0.113,1.826,2,3.0,6,5.33,5.65,-0.32,25.94,19.1,6.83
302,600820, 隧道股份,6.23,-0.64,0.031,0.16,19.75,0.089,1.256,0.127,1.657,2,2.0,5,8.63,7.44,1.19,26.98,22.79,4.18
304,603505, 金石资源,23.78,1.06,0.057,0.091,19.69,-0.117,0.231,0.17,0.666,1,2.0,6,4.49,3.68,0.81,32.12,21.64,10.48
305,2303, 美盈森,3.32,0.3,0.091,0.958,19.67,-0.337,1.171,-1.493,1.908,2,2.0,2,10.12,5.94,4.18,18.55,18.94,-0.39
306,603568, 伟明环保,19.46,0.93,0.034,0.093,19.65,-0.018,0.132,-0.096,0.329,1,1.0,2,4.46,3.14,1.32,25.59,17.04,8.55
309,600510, 黑牡丹,4.95,2.27,0.155,0.316,19.53,0.115,0.261,-0.271,-0.573,2,2.0,3,3.28,2.45,0.83,26.9,16.35,10.56
310,2108, 沧州明珠,3.39,-0.29,0.05,0.307,19.47,-0.211,-0.02,-0.65,-1.268,2,2.0,3,2.59,0.0,2.59,24.48,20.89,3.59
