序,代码,名称,最新,涨幅%,DDX,DDY,DDZ,5日DDX,5日DDY,10日DDX,10日DDY,连续,5日内,10日内,特大买入%,特大卖出%,特大单净比%,大单买入%,大单卖出%,大单净比%
3866,300902, 国安达,18.24,0.22,-0.246,-0.683,-16.59,-3.114,-3.288,-3.811,-1.832,0,0,1,0,3.84,-3.84,14.31,20.09,-5.78
3867,002571, 德力股份,5.11,-2.48,-0.338,-0.417,-16.61,-0.814,0.003,0.162,-18.579,0,1,2,0,2.66,-2.66,16.69,26.05,-9.36
3868,605577, 龙版传媒,13.33,-1.99,-0.116,-0.11,-16.61,-0.338,-0.394,-1.215,-1.24,0,0,0,0.3,6.68,-6.38,11.24,18.42,-7.18
3869,000926, 福星股份,2.27,-1.3,-0.101,-0.294,-16.62,-0.663,0.067,-1.162,-0.066,0,0,1,1.99,15.28,-13.28,26.4,19.78,6.62
3870,300516, 久之洋,34.01,0.15,-0.065,-0.086,-16.63,-0.018,-0.452,-0.101,-0.133,0,2,3,3.75,5.51,-1.76,20.32,29.09,-8.77
3871,301349, 信德新材,34.48,-0.52,-0.122,-0.335,-16.63,-0.206,-2.655,-0.362,-1.293,0,2,4,0,2.05,-2.05,17.49,24.56,-7.07
3872,301510, 固高科技,47.08,-1.96,-0.539,-0.842,-16.65,2.018,-0.035,2.641,0.4,0,3,5,8.25,12.59,-4.33,27.77,31.29,-3.52
3873,300085, 银之杰,39.93,-1.8,-0.33,-0.51,-16.68,-1.185,-3.784,-2.741,-6.249,0,1,3,8.16,12.54,-4.38,23.72,28.03,-4.31
3874,603025, 大豪科技,14.83,-1,-0.058,-0.032,-16.68,-0.27,-0.62,-0.466,-0.324,0,0,1,0.08,2.39,-2.31,7.59,20.39,-12.8
3875,688189, 南新制药,6.76,-1.46,-0.247,0.102,-16.68,-0.104,0.469,-0.088,0.423,0,2,3,0.23,3.53,-3.31,19.73,36.58,-16.86
3876,688300, 联瑞新材,64.6,-2.62,-0.18,-0.211,-16.69,-0.188,0.061,-0.224,0.708,0,2,4,6.67,9.71,-3.03,29.08,35.13,-6.05
3877,600067, 冠城新材,2.54,0,-0.055,-0.211,-16.7,0.017,0.039,-0.165,0.724,0,2,4,4.4,7.18,-2.78,17.17,21.41,-4.24
3878,300087, 荃银高科,10.29,-7.38,-0.433,-1.178,-16.71,-1.382,0.914,-2.088,0.995,0,2,3,9.58,7.38,2.2,24.4,32.73,-8.33
3879,301399, 英特科技,29.15,-2.31,-0.895,-2.177,-16.72,-2.111,-6.972,-3.296,-3.673,0,1,4,1.39,6.3,-4.91,16.69,21.18,-4.49
3880,300276, 三丰智能,14.66,-0.14,-1.979,-2.657,-16.73,1.103,-10.234,-4.25,-23.002,0,2,3,7.86,13.27,-5.41,23.42,27.32,-3.9
3881,603528, 多伦科技,9.72,-3.09,-0.425,-0.753,-16.74,0.41,-0.981,-0.67,-4.751,0,3,3,4.67,6.69,-2.02,15.15,23.39,-8.24
3882,000090, 天健集团,3.89,-2.02,-0.194,0.137,-16.75,-0.479,1.127,-0.418,1.324,0,0,3,0,12.24,-12.24,11.84,20.4,-8.55
3883,688533, 上声电子,38.84,-1.62,-0.26,-0.192,-16.76,-0.195,0.095,-0.373,0.077,0,2,4,3.57,10.79,-7.22,25.97,30.48,-4.51
3884,603867, 新化股份,24.5,-0.61,-0.065,-0.091,-16.79,-0.447,-0.211,-0.66,-0.714,0,1,3,10.9,25.24,-14.34,16.95,12.31,4.64
3885,688153, 唯捷创芯,41.39,2.76,-0.258,-0.881,-16.8,0.568,0.406,1.103,0.968,0,3,5,4.31,8.66,-4.35,23.11,25.24,-2.13
3886,300406, 九强生物,17.23,-2.98,-0.147,-0.969,-16.81,-1.14,-4.327,-1.77,-6.072,0,1,3,2.42,5.42,-3,21.74,23.4,-1.67
3887,002886, 沃特股份,20.95,0.29,-0.46,-1.818,-16.81,0.13,-1.439,0.861,0.755,0,2,4,5.35,4.53,0.82,23.49,29.89,-6.4
3888,603221, 爱丽家居,9.39,-0.74,-0.103,-0.153,-16.83,-0.515,-0.614,-1.349,-0.813,0,1,2,0.02,1.78,-1.76,2.45,14.97,-12.52
3889,600843, 上工申贝,15.61,0.32,-1.429,-2.85,-16.84,-4.153,-10.362,-3.459,-15.815,0,1,4,6.32,10.26,-3.94,17.55,22.68,-5.12
3890,301356, 天振股份,17.1,-2.23,-0.187,-0.771,-16.84,-2.098,-2.591,-2.244,1.697,0,0,2,0,0,0,6.55,16.87,-10.32
3891,002230, 科大讯飞,55.93,-2.65,-0.264,-0.273,-16.87,-0.191,0.38,-0.716,-0.531,0,2,4,15.77,21.59,-5.83,27.9,30.49,-2.59
3892,600569, 安阳钢铁,1.82,0,-0.026,-0.136,-16.89,-0.013,-0.221,-0.216,-1.058,0,3,5,10.42,11.18,-0.76,19,22.94,-3.94
3893,300280, 紫天科技,15.05,-0.2,-0.199,-3.206,-16.93,-2.315,-9.773,-9.812,-18.741,0,1,1,2.98,2.21,0.77,19.64,22.98,-3.35
3894,002041, 登海种业,11.18,-5.41,-0.345,-0.943,-16.93,-0.245,-1.283,-1.435,-2.577,0,2,3,5.89,6.74,-0.85,20.4,26.93,-6.54
3895,000633, 合金投资,4.81,-0.82,-0.129,-0.673,-16.96,-0.66,-3.474,-0.811,-0.106,0,1,3,3.47,0,3.47,8.95,20.32,-11.37
3896,300750, 宁德时代,270.04,-0.54,-0.03,-0.052,-16.99,0.019,-0.051,0.238,0.119,0,3,8,17.1,20.3,-3.2,29.19,32.05,-2.86
3897,003040, 楚天龙,14.29,-0.76,-0.05,-0.9,-16.99,-0.613,-2.898,-2.382,-8.536,0,1,1,0.25,3.33,-3.08,18.24,17.9,0.34
3898,301048, 金鹰重工,9.33,-0.53,-0.021,-0.293,-17,0.07,0.474,0.378,0.217,0,2,6,0,0,0,21.94,24.91,-2.97
3899,300842, 帝科股份,50.4,-1.64,-0.48,-1.377,-17,0.213,-0.057,0.462,1.094,0,4,6,3.35,11.25,-7.9,28.06,26.59,1.47
3900,688266, 泽璟制药-U,75.9,-0.47,-0.063,-0.093,-17.01,-0.418,-0.403,-0.843,-0.884,0,0,0,13.58,14.85,-1.28,22.35,29.52,-7.18
3901,300491, 通合科技,22.14,-5.34,-0.641,-2.061,-17.02,2.358,-0.737,6.681,8.43,0,2,5,9.63,13.49,-3.86,20.35,22.69,-2.34
3902,603729, 龙韵股份,16.53,-2.13,-0.412,-1.456,-17.03,-1.624,-1.2,-3.803,-6.258,0,1,1,0.38,2.08,-1.7,10.83,18.75,-7.92
3903,601669, 中国电建,5.05,-0.79,-0.035,-0.052,-17.04,-0.079,0.639,-0.176,0.47,0,2,4,17.16,24.42,-7.26,28.52,28.15,0.37
3904,000972, 中基健康,3.36,-1.47,-0.107,-0.423,-17.04,-0.176,-1.219,0.503,0.102,0,1,4,8.36,8.21,0.16,12.18,19.51,-7.32
3905,603339, 四方科技,12.96,-1.67,-0.146,-0.622,-17.09,-0.458,-0.943,-0.995,-1.282,0,0,1,0.58,5.26,-4.68,12.53,16.38,-3.85
3906,600312, 平高电气,15.63,-3.93,-0.243,-0.218,-17.1,-0.135,0.832,-0.106,1.848,0,3,6,7.65,10.36,-2.72,16.3,25.8,-9.49
3907,601890, 亚星锚链,7.56,0,-0.058,-0.291,-17.11,-0.452,-1.276,-1.054,-1.163,0,0,1,1.47,2.16,-0.69,17.22,23.2,-5.98
3908,600348, 华阳股份,6.54,0.31,-0.054,-0.084,-17.11,-0.284,-0.222,-0.625,-0.146,0,0,0,16.67,20.54,-3.86,17.31,21.95,-4.64
3909,688298, 东方生物,29.02,-0.48,-0.127,-0.039,-17.11,-0.652,-0.314,-0.828,-0.132,0,0,1,0.93,1.51,-0.58,25.36,39.46,-14.1
3910,003037, 三和管桩,6.15,-0.32,-0.048,-0.367,-17.12,-0.189,0.293,-0.607,-1.892,0,1,1,0,0,0,17.89,23.26,-5.38
3911,300828, 锐新科技,16.19,-0.67,-0.077,-1.707,-17.13,-0.227,-3.493,-1.323,-1.567,0,2,3,1.55,0.55,1,16.72,20.09,-3.37
3912,300916, 朗特智能,32.69,-0.88,-0.187,-0.885,-17.13,-1.024,-3.681,-2.474,-6.56,0,0,0,0,3.56,-3.56,19.22,22.4,-3.19
3913,002258, 利尔化学,8.37,-1.99,-0.09,-0.106,-17.16,-0.481,-0.542,-0.598,-1.351,0,0,2,0.25,10.91,-10.66,16.43,18.27,-1.84
3914,000810, 创维数字,14.82,-1.53,-0.145,-0.839,-17.16,-1.485,-3.856,-2.31,-3.829,0,0,2,4.98,7.49,-2.5,21.63,23.92,-2.29
3915,603211, 晋拓股份,19.07,0.26,-0.706,-4.623,-17.17,-8.099,-20.853,-11.393,-29.759,0,1,2,0.06,3.15,-3.09,14.5,17.95,-3.45
3916,000880, 潍柴重机,31.57,9.58,-1.295,-3.485,-17.17,2.518,-2.858,6.558,1.607,0,4,7,24.51,26.25,-1.75,25.4,27.76,-2.36
3917,002226, 江南化工,5.65,-2.08,-0.071,-0.127,-17.18,0.081,-0.139,0.118,0.126,0,3,5,2.75,1.24,1.51,10.97,24.16,-13.19
3918,600185, 格力地产,5.54,-1.07,-0.096,-0.179,-17.2,-0.751,-2.246,-1.718,-3.57,0,0,0,6.36,15.22,-8.85,23.6,23.29,0.3
3919,601456, 国联民生,11.16,-1.33,-0.15,-0.038,-17.23,-0.791,-1.674,-1.118,-2.107,0,0,1,12.16,22.8,-10.65,23.67,27.44,-3.77
3920,603712, 七一二,17.75,-0.67,-0.12,-0.134,-17.25,-0.411,-0.796,-0.444,-0.528,0,1,3,3.49,7.57,-4.09,15.35,23.67,-8.32
3921,688131, 皓元医药,43.52,-2.64,-0.134,-0.321,-17.26,-0.358,-0.553,-0.469,-0.015,0,2,4,7.49,6.89,0.6,19.09,27.9,-8.81
